Perfil;Ancho;Alto;ColorVidrio;Acabado;Tarifa
7993;500;2500;MATE;ANODIZADO;264,94
7993;600;500;MATE;ANODIZADO;168,18
7993;600;1000;MATE;ANODIZADO;200,20
7993;600;2000;MATE;ANODIZADO;250,28
7993;600;2500;MATE;ANODIZADO;288,81
7993;400;500;MATE;RECHAPADO;150,45
7993;400;1000;MATE;RECHAPADO;186,56
7993;400;2000;MATE;RECHAPADO;227,05
7993;400;2500;MATE;RECHAPADO;260,04
7993;500;500;MATE;RECHAPADO;159,52
7993;500;1000;MATE;RECHAPADO;202,01
7993;500;2000;MATE;RECHAPADO;247,17
7993;500;2500;MATE;RECHAPADO;284,56
7993;600;500;MATE;RECHAPADO;168,58
7993;600;1000;MATE;RECHAPADO;217,45
7993;600;2000;MATE;RECHAPADO;267,28
7993;600;2500;MATE;RECHAPADO;309,08
7994;400;500;SINVIDRIO;LACADO;43,87
7994;400;1000;SINVIDRIO;LACADO;55,00
7994;400;2000;SINVIDRIO;LACADO;74,43
7994;400;2500;SINVIDRIO;LACADO;85,57
7994;500;500;SINVIDRIO;LACADO;45,53
7994;500;1000;SINVIDRIO;LACADO;56,66
7994;500;2000;SINVIDRIO;LACADO;76,09
7994;500;2500;SINVIDRIO;LACADO;87,23
7994;600;500;SINVIDRIO;LACADO;47,19
7994;600;1000;SINVIDRIO;LACADO;58,32
7994;600;2000;SINVIDRIO;LACADO;77,75
7994;600;2500;SINVIDRIO;LACADO;88,89
7994;400;500;SINVIDRIO;ANODIZADO;46,57
7994;400;1000;SINVIDRIO;ANODIZADO;59,20
7994;400;2000;SINVIDRIO;ANODIZADO;81,63
7994;400;2500;SINVIDRIO;ANODIZADO;94,26
7994;500;500;SINVIDRIO;ANODIZADO;48,53
7994;500;1000;SINVIDRIO;ANODIZADO;61,16
7994;500;2000;SINVIDRIO;ANODIZADO;83,59
7994;500;2500;SINVIDRIO;ANODIZADO;96,22
7994;600;500;SINVIDRIO;ANODIZADO;50,49
7994;600;1000;SINVIDRIO;ANODIZADO;63,12
7994;600;2000;SINVIDRIO;ANODIZADO;85,55
